precinct,superprecinct
0,15
1,15
2,18
3,18
4,15
5,18
6,264
7,205
8,185
9,148
10,237
11,205
12,264
13,185
14,237
15,205
16,57
17,34
18,148
19,264
20,253
21,34
22,281
23,34
24,34
25,201
26,129
27,237
28,264
29,18
30,18
31,198
32,281
33,15
34,92
35,233
36,281
37,253
38,27
39,249
40,253
41,205
42,205
43,205
44,205
45,201
46,18
47,18
48,15
49,15
50,18
51,264
52,201
53,281
54,281
55,18
56,233
57,15
58,34
59,185
60,86
61,237
62,27
63,57
64,205
65,205
66,100
67,263
68,145
69,34
70,27
71,27
72,129
73,18
74,18
75,201
76,15
77,15
78,237
79,237
80,185
81,185
82,253
83,18
84,65
85,27
86,15
87,264
88,18
89,201
90,233
91,18
92,15
93,129
94,201
95,15
96,129
97,15
98,18
99,129
100,129
101,18
102,15
103,201
104,129
105,15
106,27
107,281
108,11
109,47
110,264
111,201
112,233
113,233
114,15
115,233
116,253
117,233
118,198
119,57
120,198
121,201
122,129
123,15
124,185
125,297
126,90
127,34
128,249
129,148
130,127
131,160
132,127
133,212
134,212
135,34
136,60
137,60
138,148
139,127
140,160
141,160
142,185
143,43
144,39
145,160
146,226
147,217
148,127
149,127
150,65
151,34
152,148
153,57
154,57
155,57
156,246
157,86
158,86
159,181
160,127
161,181
162,47
163,39
164,27
165,148
166,185
167,34
168,127
169,230
170,57
171,206
172,88
173,264
174,252
175,35
176,160
177,86
178,43
179,27
180,148
181,177
182,27
183,167
184,263
185,160
186,47
187,206
188,264
189,253
190,264
191,264
192,284
193,249
194,185
195,47
196,127
197,280
198,252
199,217
200,127
201,148
202,127
203,86
204,57
205,170
206,170
207,127
208,160
209,47
210,47
211,127
212,38
213,27
214,57
215,212
216,284
217,247
218,184
219,247
220,160
221,247
222,217
223,35
224,297
225,127
226,264
227,249
228,57
229,127
230,127
231,184
232,39
233,284
234,27
235,284
236,123
237,34
238,249
239,256
240,90
241,224
242,206
243,224
244,127
245,167
246,199
247,60
248,14
249,96
250,127
251,60
252,127
253,230
254,170
255,181
256,150
257,161
258,266
259,228
260,126
261,271
262,127
263,271
264,207
265,178
266,178
267,297
268,234
269,27
270,284
271,212
272,225
273,86
274,284
275,82
276,82
277,43
278,284
279,43
280,224
281,88
282,256
283,199
284,127
285,264
